"Timestamp","Total score","What cluster is your roommate in?","What cluster is your roommate in? [Score]","What cluster is your roommate in? [Feedback]","Are you and your roommate in the same grade?","Are you and your roommate in the same grade? [Score]","Are you and your roommate in the same grade? [Feedback]","Do you and your roommate share similar sleeping schedules?","Do you and your roommate share similar sleeping schedules? [Score]","Do you and your roommate share similar sleeping schedules? [Feedback]","On a scale of 1-10 how much do you like your roommate?","On a scale of 1-10 how much do you like your roommate? [Score]","On a scale of 1-10 how much do you like your roommate? [Feedback]","What interests do you share the most strongly with your roommate?","What interests do you share the most strongly with your roommate? [Score]","What interests do you share the most strongly with your roommate? [Feedback]"
"2026/07/07 11:47:11 AM MDT","0.00 / 0","14: Future Mobility on Ground and Air: From Automobiles to Airplanes and Drones","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","9","-- / 0","","Sports","-- / 0",""
"2026/07/07 11:47:18 AM MDT","0.00 / 0","4: Introduction to Astrophysics","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","8","-- / 0","","Sports","-- / 0",""
"2026/07/07 11:47:20 AM MDT","0.00 / 0","11: Beyond the Numbers: Exploring Data Science and Big Data Innovation","-- / 0","","No","-- / 0","","Yes","-- / 0","","6","-- / 0","","None","-- / 0",""
"2026/07/07 11:47:20 AM MDT","0.00 / 0","3: Introduction to Engineering Mechanics","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","8","-- / 0","","Sports","-- / 0",""
"2026/07/07 11:47:20 AM MDT","0.00 / 0","13: Future Foods: Sustainable Aquatic Food Production","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","8","-- / 0","","Sports","-- / 0",""
"2026/07/07 11:47:39 AM MDT","0.00 / 0","5: Computers in Biophysics & Robotics","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","8","-- / 0","","Sports","-- / 0",""
"2026/07/07 11:47:43 AM MDT","0.00 / 0","4: Introduction to Astrophysics","-- / 0","","No","-- / 0","","Yes","-- / 0","","7","-- / 0","","None","-- / 0",""
"2026/07/07 11:47:59 AM MDT","0.00 / 0","13: Future Foods: Sustainable Aquatic Food Production","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","9","-- / 0","","Arts","-- / 0",""
"2026/07/07 11:48:19 AM MDT","0.00 / 0","2: Physics & Engineering: From the scientific method to technological applications","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","9","-- / 0","","Academics","-- / 0",""
"2026/07/07 11:48:21 AM MDT","0.00 / 0","13: Future Foods: Sustainable Aquatic Food Production","-- / 0","","No","-- / 0","","No","-- / 0","","5","-- / 0","","None","-- / 0",""
"2026/07/07 11:48:25 AM MDT","0.00 / 0","11: Beyond the Numbers: Exploring Data Science and Big Data Innovation","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","8","-- / 0","","Sports","-- / 0",""
"2026/07/07 11:48:54 AM MDT","0.00 / 0","7: Introduction to Plant Microbiology","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","5","-- / 0","","None","-- / 0",""
"2026/07/07 11:49:11 AM MDT","0.00 / 0","12: Introduction to Machine Learning","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","8","-- / 0","","Academics","-- / 0",""
"2026/07/07 11:49:36 AM MDT","0.00 / 0","5: Computers in Biophysics & Robotics","-- / 0","","Yes","-- / 0","","No","-- / 0","","8","-- / 0","","Academics","-- / 0",""
"2026/07/07 11:49:48 AM MDT","0.00 / 0","12: Introduction to Machine Learning","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","7","-- / 0","","Sports","-- / 0",""
"2026/07/07 11:50:50 AM MDT","0.00 / 0","3: Introduction to Engineering Mechanics","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","8","-- / 0","","Sports","-- / 0",""
"2026/07/07 11:50:51 AM MDT","0.00 / 0","1: Quantum Mechanics and Application to Nanotechnology","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","6","-- / 0","","Academics","-- / 0",""
"2026/07/07 11:51:00 AM MDT","0.00 / 0","10: Sustainable Transportation","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","6","-- / 0","","None","-- / 0",""
"2026/07/07 11:51:01 AM MDT","0.00 / 0","8: From Semiconductors to Code: Exploring Analog and Digital Electronics","-- / 0","","Yes","-- / 0","","No","-- / 0","","7","-- / 0","","Academics","-- / 0",""
"2026/07/07 11:51:02 AM MDT","0.00 / 0","1: Quantum Mechanics and Application to Nanotechnology","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","4","-- / 0","","Academics","-- / 0",""
"2026/07/07 11:54:38 AM MDT","0.00 / 0","13: Future Foods: Sustainable Aquatic Food Production","-- / 0","","Yes","-- / 0","","Yes","-- / 0","","8","-- / 0","","Arts","-- / 0",""